SubID,Order,Gender,AgeMonths,AgeYears,Exclude,ExcludeReason,Block,TrialNumber,SelectProportion
PM101,NumFirst,F,58,4,0,NA,Cont,T1,1
PM101,NumFirst,F,58,4,0,NA,Cont,T2,1
PM101,NumFirst,F,58,4,0,NA,Cont,T3,1
PM101,NumFirst,F,58,4,0,NA,Cont,T4,1
PM101,NumFirst,F,58,4,0,NA,Cont,T5,1
PM101,NumFirst,F,58,4,0,NA,Cont,T6,1
PM101,NumFirst,F,58,4,0,NA,Cont,T7,1
PM101,NumFirst,F,58,4,0,NA,Cont,T8,1
PM101,NumFirst,F,58,4,0,NA,Num,T1,1
PM101,NumFirst,F,58,4,0,NA,Num,T2,1
PM101,NumFirst,F,58,4,0,NA,Num,T3,1
PM101,NumFirst,F,58,4,0,NA,Num,T4,1
PM101,NumFirst,F,58,4,0,NA,Num,T5,1
PM101,NumFirst,F,58,4,0,NA,Num,T6,1
PM101,NumFirst,F,58,4,0,NA,Num,T7,1
PM101,NumFirst,F,58,4,0,NA,Num,T8,1
PM102,ContFirst,M,55,4,0,NA,Cont,T1,0
PM102,ContFirst,M,55,4,0,NA,Cont,T2,1
PM102,ContFirst,M,55,4,0,NA,Cont,T3,1
PM102,ContFirst,M,55,4,0,NA,Cont,T4,1
PM102,ContFirst,M,55,4,0,NA,Cont,T5,1
PM102,ContFirst,M,55,4,0,NA,Cont,T6,1
PM102,ContFirst,M,55,4,0,NA,Cont,T7,1
PM102,ContFirst,M,55,4,0,NA,Cont,T8,1
PM102,ContFirst,M,55,4,0,NA,Num,T1,0
PM102,ContFirst,M,55,4,0,NA,Num,T2,0
PM102,ContFirst,M,55,4,0,NA,Num,T3,0
PM102,ContFirst,M,55,4,0,NA,Num,T4,1
PM102,ContFirst,M,55,4,0,NA,Num,T5,0
PM102,ContFirst,M,55,4,0,NA,Num,T6,0
PM102,ContFirst,M,55,4,0,NA,Num,T7,0
PM102,ContFirst,M,55,4,0,NA,Num,T8,0
PM103,NumFirst,M,55,4,0,NA,Cont,T1,0
PM103,NumFirst,M,55,4,0,NA,Cont,T2,0
PM103,NumFirst,M,55,4,0,NA,Cont,T3,0
PM103,NumFirst,M,55,4,0,NA,Cont,T4,0
PM103,NumFirst,M,55,4,0,NA,Cont,T5,0
PM103,NumFirst,M,55,4,0,NA,Cont,T6,0
PM103,NumFirst,M,55,4,0,NA,Cont,T7,0
PM103,NumFirst,M,55,4,0,NA,Cont,T8,0
PM103,NumFirst,M,55,4,0,NA,Num,T1,0
PM103,NumFirst,M,55,4,0,NA,Num,T2,0
PM103,NumFirst,M,55,4,0,NA,Num,T3,0
PM103,NumFirst,M,55,4,0,NA,Num,T4,0
PM103,NumFirst,M,55,4,0,NA,Num,T5,0
PM103,NumFirst,M,55,4,0,NA,Num,T6,0
PM103,NumFirst,M,55,4,0,NA,Num,T7,0
PM103,NumFirst,M,55,4,0,NA,Num,T8,0
PM104,NumFirst,F,81,6,0,NA,Cont,T1,0
PM104,NumFirst,F,81,6,0,NA,Cont,T2,0
PM104,NumFirst,F,81,6,0,NA,Cont,T3,0
PM104,NumFirst,F,81,6,0,NA,Cont,T4,0
PM104,NumFirst,F,81,6,0,NA,Cont,T5,0
PM104,NumFirst,F,81,6,0,NA,Cont,T6,0
