id,attention,progress-belief,progress-binary,humanprogress1,humanprogress2,humanprogress3,humanprogress4,inevitableprogress1,inevitableprogress2,inevitableprogress3,inevitableprogress4,humanprogress-mean,inevitableprogress-mean,humanprogress-hilo,inevitableprogress-hilo,hilo-group,moral-setback-example,charity-choice - Selected Choice,charity-choice - None of these (please enter a charity of your choice) - Text,donation-amount,donation-binary,issue-importance,donation-confidence,gender,politics,age,religion,country
108,instructions,Not sure,1,5,4,5,3,2,2,1,1,4.25,1.5,0,0,both-low,When Russia invaded Ukraine? ,Hope for Ukraine Inc. ,,5,1,2,3,Man,Conservative,29,Catholicism,United States of America
39,instructions,No,0,5,6,5,5,1,3,1,2,5.25,1.75,0,0,both-low,Elon Musk uses his newly acquired platform of Twitter to perpetuate false information about Paul Pelosi. Musk should be using his position of wealth and power to bring progress and champion truth in the world.,Democracy Works Inc.,,20,1,7,4,Man,Liberal,42,Non-denominational Christianity,United States of America
130,instructions,No,0,6,4,4,6,2,2,2,2,5,2,0,0,both-low,"Election campaigns always set back moral progress, as both sides attack each other.",None of these (please enter a charity of your choice),,0,0,4,1,Man,Moderate,50,Non-denominational Christianity,United States of America
126,instructions,No,0,7,5,5,5,1,3,1,4,5.5,2.25,0,0,both-low,riots,Voices for Racial Justice,,20,1,4,4,Woman,Moderate,49,Baptist,United States of America
82,instructions,Not sure,1,6,6,5,5,1,5,3,1,5.5,2.5,0,0,both-low,The recent fight to remove protections for gay and lesbian folks.,Genders & Sexualities Alliance Network,,20,1,5,7,Woman,Liberal,41,Agnosticism,United States of America
124,instructions,No,0,6,5,3,3,3,3,3,3,4.25,3,0,0,both-low,Russia invading Ukraine and the Republicans are okay with that,Hope for Ukraine Inc. ,,8,1,6,3,Man,Very liberal,41,Atheism,United States of America
38,instructions,No,0,5,5,5,6,3,5,1,3,5.25,3,0,0,both-low,school shootings,Giffords Law Center to Prevent Gun Violence,,20,1,7,6,Woman,Very liberal,22,Atheism,United States of America
109,instructions,No,0,5,5,6,6,2,5,3,2,5.5,3,0,0,both-low,I think that Trump being elected president has really blocked progress. ,Voices for Racial Justice,,1,1,5,5,Woman,Very liberal,33,Congregationalism,United States of America
84,instructions,Not sure,1,4,4,4,5,3,3,3,4,4.25,3.25,0,0,both-low,everyone stops talking about human rights when it is about the Chinese government or others they are profiting from. ,None of these (please enter a charity of your choice),,0,0,5,4,Man,Moderate,27,Islam,United States of America
135,instructions,No,0,5,5,5,3,3,2,3,5,4.5,3.25,0,0,both-low,"People did child sacrifices to pagan gods in the days of antiquity for praise and benefits, and through abortions being widespread people still do child sacrifices today, for the sake of their jobs and career prospects (or to keep their lives the same.) It's a harsh thing to say, but since the vast majority of abortions done aren't done because of rape, incest, or the mother's life being in danger, innocent kids are in effect being tossed aside just because the parent would rather trade their presence for something they want, or have but want to keep.",A Bond of Love Adoption Agency Inc.,,20,1,7,5,Woman,Conservative,28,Baptist,United States of America
45,instructions,No,0,5,5,5,6,3,3,3,4,5.25,3.25,0,0,both-low,January 6th riot,Giffords Law Center to Prevent Gun Violence,,10,1,4,5,Man,Moderate,44,Spiritual but no religion,United States of America
79,instructions,Yes,2,6,5,5,5,3,5,3,2,5.25,3.25,0,0,both-low,Insurrections in US,Democracy Works Inc.,,20,1,3,4,Woman,Liberal,32,Atheism,United States of America
56,instructions,No,0,7,5,3,7,3,3,4,3,5.5,3.25,0,0,both-low,violent protests,None of these (please enter a charity of your choice),there are none,0,0,7,1,Woman,Moderate,57,Catholicism,United States of America
64,instructions,Yes,2,3,3,6,4,5,5,2,2,4,3.5,0,0,both-low,"The constant military interventions by the United States around the world. More recently, in the Middle East.",None of these (please enter a charity of your choice),Doctos Without Borders,0,0,4,6,Man,Liberal,25,Atheism,United States of America
136,instructions,No,0,7,2,2,6,4,2,2,6,4.25,3.5,0,0,both-low,The man who pushed a random man onto the subway,None of these (please enter a charity of your choice),,1,1,7,1,Woman,Conservative,65,Judaism,United States of America
14,instructions,No,0,5,5,3,4,3,4,3,4,4.25,3.5,0,0,both-low,Russian and Ukraine war,Hope for Ukraine Inc. ,,5,1,6,5,Woman,Conservative,24,Lutheran,United States of America
3,instructions,Not sure,1,6,4,4,4,4,4,4,2,4.5,3.5,0,0,both-low,"Okay, ""moral"" is a social construct but I believe it was immoral to reverse Roe v. Wade. People will die. ",Abortion Care Network,,20,1,7,4,Woman,Very liberal,53,Atheism,United States of America
